STIG ID,Enabled?,Manual?
PHTN-30-000001,:heavy_check_mark:,:x:
PHTN-30-000002,:heavy_check_mark:,:x:
PHTN-30-000003,:x:,:x:
PHTN-30-000004,:heavy_check_mark:,:x:
PHTN-30-000005,:heavy_check_mark:,:x:
PHTN-30-000006,:heavy_check_mark:,:x:
PHTN-30-000007,:heavy_check_mark:,:x:
PHTN-30-000008,:heavy_check_mark:,:x:
PHTN-30-000009,:heavy_check_mark:,:x:
PHTN-30-000010,:heavy_check_mark:,:x:
PHTN-30-000011,:heavy_check_mark:,:x:
PHTN-30-000012,:heavy_check_mark:,:x:
PHTN-30-000013,:heavy_check_mark:,:x:
PHTN-30-000014,:heavy_check_mark:,:x:
PHTN-30-000015,:heavy_check_mark:,:x:
PHTN-30-000016,:heavy_check_mark:,:x:
PHTN-30-000017,:heavy_check_mark:,:x:
PHTN-30-000018,:heavy_check_mark:,:x:
PHTN-30-000019,:heavy_check_mark:,:x:
PHTN-30-000020,:heavy_check_mark:,:x:
PHTN-30-000021,:heavy_check_mark:,:x:
PHTN-30-000022,:heavy_check_mark:,:x:
PHTN-30-000023,:heavy_check_mark:,:x:
PHTN-30-000024,:heavy_check_mark:,:x:
PHTN-30-000025,:heavy_check_mark:,:x:
PHTN-30-000026,:x:,:heavy_check_mark:
PHTN-30-000027,:heavy_check_mark:,:x:
PHTN-30-000028,:heavy_check_mark:,:x:
PHTN-30-000029,:heavy_check_mark:,:x:
PHTN-30-000030,:heavy_check_mark:,:x:
PHTN-30-000031,:x:,:heavy_check_mark:
PHTN-30-000032,:heavy_check_mark:,:x:
PHTN-30-000033,:x:,:heavy_check_mark:
PHTN-30-000035,:heavy_check_mark:,:x:
PHTN-30-000036,:heavy_check_mark:,:x:
PHTN-30-000037,:heavy_check_mark:,:x:
PHTN-30-000038,:heavy_check_mark:,:x:
PHTN-30-000039,:heavy_check_mark:,:x:
PHTN-30-000040,:heavy_check_mark:,:x:
PHTN-30-000041,:heavy_check_mark:,:x:
PHTN-30-000042,:heavy_check_mark:,:x:
PHTN-30-000043,:heavy_check_mark:,:x:
PHTN-30-000044,:heavy_check_mark:,:x:
PHTN-30-000045,:heavy_check_mark:,:x:
PHTN-30-000046,:heavy_check_mark:,:x:
PHTN-30-000047,:heavy_check_mark:,:x:
PHTN-30-000048,:heavy_check_mark:,:x:
PHTN-30-000049,:heavy_check_mark:,:x:
PHTN-30-000050,:heavy_check_mark:,:x:
PHTN-30-000051,:heavy_check_mark:,:x:
PHTN-30-000052,:heavy_check_mark:,:x:
PHTN-30-000053,:heavy_check_mark:,:x:
PHTN-30-000054,:heavy_check_mark:,:x:
PHTN-30-000055,:heavy_check_mark:,:x:
PHTN-30-000056,:heavy_check_mark:,:x:
PHTN-30-000057,:heavy_check_mark:,:x:
PHTN-30-000058,:heavy_check_mark:,:x:
PHTN-30-000059,:heavy_check_mark:,:x:
PHTN-30-000060,:heavy_check_mark:,:x:
PHTN-30-000061,:heavy_check_mark:,:x:
PHTN-30-000062,:heavy_check_mark:,:heavy_check_mark:
PHTN-30-000065,:heavy_check_mark:,:x:
PHTN-30-000066,:heavy_check_mark:,:x:
PHTN-30-000067,:heavy_check_mark:,:x:
PHTN-30-000068,:heavy_check_mark:,:x:
PHTN-30-000069,:heavy_check_mark:,:x:
