Proto,Port,Program
tcp,111,/var/vcap/data/packages/nfs-debs/<GUID>/sbin/rpcbind
tcp,14821,/var/vcap/data/packages/prom_scraper/<GUID>/prom-scraper
tcp,14822,/var/vcap/data/packages/syslog-agent/<GUID>/syslog-agent
tcp,14823,/var/vcap/data/packages/forwarder-agent/<GUID>/forwarder-agent
tcp,14824,/var/vcap/data/packages/loggregator_agent/<GUID>/loggregator-agent
tcp,14828,/var/vcap/data/packages/binding-cache/<GUID>/binding-cache
tcp,14829,/var/vcap/data/packages/udp-forwarder/<GUID>/udp-forwarder
tcp,14920,/var/vcap/data/packages/metric-scraper/<GUID>/metric-scraper
tcp,14921,/var/vcap/data/packages/leadership-election/<GUID>/leadership-election
tcp,14922,/var/vcap/data/packages/system-metrics-agent/<GUID>/system-metrics-agent
tcp,15897,/var/vcap/data/packages/routing-api/<GUID>/bin/routing-api
tcp,17001,/var/vcap/data/packages/auctioneer/<GUID>/bin/auctioneer
tcp,17002,/var/vcap/data/packages/gorouter/<GUID>/bin/gorouter
tcp,17002,/var/vcap/data/packages/tcp_router/<GUID>/bin/cf-tcp-router
tcp,17003,/var/vcap/data/packages/routing-api/<GUID>/bin/routing-api
tcp,17008,/var/vcap/data/packages/rep/<GUID>/bin/rep
tcp,17009,/var/vcap/data/packages/route_emitter/<GUID>/bin/route-emitter
tcp,17011,/var/vcap/data/packages/route_emitter/<GUID>/bin/route-emitter
tcp,17015,/var/vcap/data/packages/tps/<GUID>/bin/tps-watcher
tcp,17016,/var/vcap/data/packages/ssh_proxy/<GUID>/bin/ssh-proxy
tcp,17017,/var/vcap/data/packages/bbs/<GUID>/bin/bbs
tcp,17018,/var/vcap/data/packages/locket/<GUID>/bin/locket
tcp,17019,/var/vcap/data/packages/cc_uploader/<GUID>/bin/cc-uploader
tcp,17019,/var/vcap/data/packages/guardian/<GUID>/bin/gdn
tcp,1800,/var/vcap/data/packages/rep/<GUID>/bin/rep
tcp,1801,/var/vcap/data/packages/rep/<GUID>/bin/rep
tcp,18454,/var/vcap/data/packages/prom_scraper/<GUID>/prom-scraper
tcp,1936,/var/vcap/data/packages/proxy/<GUID>/bin/proxy
tcp,19683,/var/vcap/data/packages/silk-controller/<GUID>/bin/silk-controller
tcp,21542,/var/vcap/data/packages/metric_registrar/<GUID>/bin/metric_registrar_endpoint_worker
tcp,21543,/var/vcap/data/packages/metric_registrar/<GUID>/bin/metric_registrar_endpoint_worker
tcp,21544,/var/vcap/data/packages/metric_registrar/<GUID>/bin/metric_registrar_log_worker
tcp,21545,/var/vcap/data/packages/metric_registrar/<GUID>/bin/metric_registrar_log_worker
tcp,21546,/var/vcap/data/packages/metric_registrar/<GUID>/bin/metric_registrar_orchestrator
tcp,21548,/var/vcap/data/packages/metric_registrar/<GUID>/bin/metric_registrar_secure_endpoint_worker
tcp,21549,/var/vcap/data/packages/metric_registrar/<GUID>/bin/metric_registrar_secure_endpoint_worker
tcp,22204,/var/vcap/data/packages/loggregator_agent/<GUID>/loggregator-agent
tcp,22208,/var/vcap/data/packages/loggregator_agent/<GUID>/loggregator-agent
tcp,22210,/var/vcap/data/packages/loggregator_agent/<GUID>/loggregator-agent
tcp,2222,/var/vcap/data/packages/ssh_proxy/<GUID>/bin/ssh-proxy
tcp,22223,/var/vcap/data/packages/policy-server/<GUID>/bin/policy-server
tcp,22224,/var/vcap/data/packages/loggregator_agent/<GUID>/loggregator-agent
tcp,22232,/var/vcap/data/packages/loggregator_agent/<GUID>/loggregator-agent
tcp,22233,/var/vcap/data/packages/silk-daemon/<GUID>/bin/silk-daemon
tcp,23954,/var/vcap/data/packages/silk-daemon/<GUID>/bin/silk-daemon
tcp,25923,/var/vcap/data/packages/director-ruby-3.1/<GUID>/bin/ruby
tcp,2822,/var/vcap/bosh/bin/monit-actual
tcp,2825,/var/vcap/bosh/bin/bosh-agent
tcp,28893,/var/vcap/data/packages/scanner/<GUID>/scanner_web
tcp,28895,/var/vcap/data/packages/scanner/<GUID>/scanner_daemon
tcp,28940,/var/vcap/data/packages/syslog-agent/<GUID>/syslog-agent
tcp,3000,/var/vcap/data/packages/routing-api/<GUID>/bin/routing-api
tcp,3001,/var/vcap/data/packages/routing-api/<GUID>/bin/routing-api
tcp,30126,/var/vcap/data/packages/prom_scraper/<GUID>/prom-scraper
tcp,31945,/var/vcap/data/packages/policy-server/<GUID>/bin/policy-server-internal
tcp,31946,/var/vcap/data/packages/policy-server/<GUID>/bin/policy-server-internal
tcp,32846,/usr/bin/google_guest_agent
tcp,32893,/var/vcap/data/packages/reverse_log_proxy/<GUID>/rlp
tcp,32908,/var/vcap/data/packages/prom_scraper/<GUID>/prom-scraper
tcp,32912,/var/vcap/data/packages/syslog-agent/<GUID>/syslog-agent
tcp,32950,/var/vcap/data/packages/bbs/<GUID>/bin/bbs
tcp,32964,/var/vcap/data/packages/bbs/<GUID>/bin/bbs
tcp,32966,/var/vcap/data/packages/metric-scraper/<GUID>/metric-scraper
tcp,32998,/var/vcap/data/packages/prom_scraper/<GUID>/prom-scraper
tcp,33002,/usr/bin/google_guest_agent
tcp,33044,/var/vcap/data/packages/syslog-agent/<GUID>/syslog-agent
tcp,3306,/var/vcap/data/packages/percona-xtradb-cluster-8.0/<GUID>/bin/mysqld
tcp,3306,/var/vcap/data/packages/proxy/<GUID>/bin/proxy
tcp,33060,/var/vcap/data/packages/percona-xtradb-cluster-8.0/<GUID>/bin/mysqld
tcp,33070,/var/vcap/data/packages/prom_scraper/<GUID>/prom-scraper
tcp,33078,/var/vcap/data/packages/statsd_injector/<GUID>/statsd-injector
tcp,33202,/var/vcap/data/packages/bosh-dns/<GUID>/bin/bosh-dns
