STIG ID,Enabled?,Manual?,Default U1d?,Default U2b?
VCEM-70-000001,:heavy_check_mark:,:x:,:heavy_check_mark:,:heavy_check_mark:
VCEM-70-000002,:heavy_check_mark:,:x:,:heavy_check_mark:,:heavy_check_mark:
VCEM-70-000003,:heavy_check_mark:,:x:,:heavy_check_mark:,:heavy_check_mark:
VCEM-70-000004,:heavy_check_mark:,:x:,:heavy_check_mark:,:heavy_check_mark:
VCEM-70-000005,:heavy_check_mark:,:x:,:heavy_check_mark:,:heavy_check_mark:
VCEM-70-000006,:heavy_check_mark:,:x:,:heavy_check_mark:,:heavy_check_mark:
VCEM-70-000007,:heavy_check_mark:,:x:,:heavy_check_mark:,:heavy_check_mark:
VCEM-70-000008,:x:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:
VCEM-70-000009,:x:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:
VCEM-70-000010,:heavy_check_mark:,:x:,:heavy_check_mark:,:heavy_check_mark:
VCEM-70-000011,:heavy_check_mark:,:x:,:heavy_check_mark:,:heavy_check_mark:
VCEM-70-000012,:heavy_check_mark:,:x:,:heavy_check_mark:,:heavy_check_mark:
VCEM-70-000013,:heavy_check_mark:,:x:,:heavy_check_mark:,:heavy_check_mark:
VCEM-70-000014,:heavy_check_mark:,:x:,:heavy_check_mark:,:heavy_check_mark:
VCEM-70-000015,:heavy_check_mark:,:x:,:heavy_check_mark:,:heavy_check_mark:
VCEM-70-000016,:x:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:
VCEM-70-000017,:heavy_check_mark:,:x:,:heavy_check_mark:,:heavy_check_mark:
VCEM-70-000018,:heavy_check_mark:,:x:,:heavy_check_mark:,:heavy_check_mark:
VCEM-70-000019,:heavy_check_mark:,:x:,:heavy_check_mark:,:heavy_check_mark:
VCEM-70-000020,:heavy_check_mark:,:x:,:heavy_check_mark:,:heavy_check_mark:
VCEM-70-000021,:heavy_check_mark:,:x:,:x:,:x:
VCEM-70-000022,:heavy_check_mark:,:x:,:heavy_check_mark:,:heavy_check_mark:
VCEM-70-000023,:heavy_check_mark:,:x:,:heavy_check_mark:,:heavy_check_mark:
VCEM-70-000024,:heavy_check_mark:,:x:,:heavy_check_mark:,:heavy_check_mark:
VCEM-70-000025,:heavy_check_mark:,:x:,:heavy_check_mark:,:heavy_check_mark:
VCEM-70-000026,:heavy_check_mark:,:x:,:x:,:x:
VCEM-70-000027,:heavy_check_mark:,:x:,:heavy_check_mark:,:heavy_check_mark:
VCEM-70-000028,:heavy_check_mark:,:x:,:heavy_check_mark:,:heavy_check_mark:
VCEM-70-000029,:heavy_check_mark:,:x:,:heavy_check_mark:,:heavy_check_mark:
VCEM-70-000030,:heavy_check_mark:,:x:,:heavy_check_mark:,:heavy_check_mark:
VCEM-70-000031,:heavy_check_mark:,:x:,:heavy_check_mark:,:heavy_check_mark:
VCEM-70-000032,:heavy_check_mark:,:x:,:heavy_check_mark:,:heavy_check_mark:
VCEM-70-000033,:heavy_check_mark:,:x:,:heavy_check_mark:,:heavy_check_mark:
VCLU-70-000001,:heavy_check_mark:,:x:,:heavy_check_mark:,:heavy_check_mark:
VCLU-70-000002,:heavy_check_mark:,:x:,:heavy_check_mark:,:heavy_check_mark:
VCLU-70-000003,:heavy_check_mark:,:x:,:heavy_check_mark:,:heavy_check_mark:
VCLU-70-000004,:heavy_check_mark:,:x:,:x:,:x:
VCLU-70-000005,:heavy_check_mark:,:x:,:x:,:x:
VCLU-70-000006,:heavy_check_mark:,:x:,:heavy_check_mark:,:heavy_check_mark:
VCLU-70-000007,:heavy_check_mark:,:x:,:x:,:x:
VCLU-70-000008,:x:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:
VCLU-70-000009,:x:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:
VCLU-70-000010,:heavy_check_mark:,:x:,:x:,:x:
VCLU-70-000011,:heavy_check_mark:,:x:,:heavy_check_mark:,:heavy_check_mark:
VCLU-70-000012,:heavy_check_mark:,:x:,:x:,:x:
VCLU-70-000013,:heavy_check_mark:,:x:,:heavy_check_mark:,:heavy_check_mark:
VCLU-70-000014,:heavy_check_mark:,:x:,:heavy_check_mark:,:heavy_check_mark:
VCLU-70-000015,:heavy_check_mark:,:x:,:heavy_check_mark:,:heavy_check_mark:
VCLU-70-000016,:x:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:
VCLU-70-000017,:heavy_check_mark:,:x:,:heavy_check_mark:,:heavy_check_mark:
VCLU-70-000018,:heavy_check_mark:,:x:,:x:,:x:
VCLU-70-000019,:heavy_check_mark:,:x:,:heavy_check_mark:,:heavy_check_mark:
VCLU-70-000020,:heavy_check_mark:,:x:,:x:,:x:
VCLU-70-000021,:heavy_check_mark:,:x:,:heavy_check_mark:,:heavy_check_mark:
VCLU-70-000022,:heavy_check_mark:,:x:,:heavy_check_mark:,:heavy_check_mark:
VCLU-70-000023,:heavy_check_mark:,:x:,:x:,:x:
VCLU-70-000024,:heavy_check_mark:,:x:,:x:,:x:
VCLU-70-000025,:heavy_check_mark:,:x:,:heavy_check_mark:,:heavy_check_mark:
VCLU-70-000026,:heavy_check_mark:,:x:,:heavy_check_mark:,:heavy_check_mark:
VCLU-70-000027,:x:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:
VCLU-70-000028,:heavy_check_mark:,:x:,:heavy_check_mark:,:heavy_check_mark:
VCLU-70-000029,:heavy_check_mark:,:x:,:heavy_check_mark:,:heavy_check_mark:
VCLU-70-000030,:heavy_check_mark:,:x:,:heavy_check_mark:,:heavy_check_mark:
VCLU-70-000031,:heavy_check_mark:,:x:,:x:,:x:
VCPF-70-000001,:heavy_check_mark:,:x:,:heavy_check_mark:,:heavy_check_mark:
VCPF-70-000002,:heavy_check_mark:,:x:,:heavy_check_mark:,:heavy_check_mark:
VCPF-70-000003,:heavy_check_mark:,:x:,:heavy_check_mark:,:heavy_check_mark:
VCPF-70-000004,:heavy_check_mark:,:x:,:heavy_check_mark:,:heavy_check_mark:
VCPF-70-000005,:heavy_check_mark:,:x:,:heavy_check_mark:,:heavy_check_mark:
VCPF-70-000006,:heavy_check_mark:,:x:,:heavy_check_mark:,:heavy_check_mark:
VCPF-70-000007,:heavy_check_mark:,:x:,:heavy_check_mark:,:heavy_check_mark:
