STIG ID,Enabled?,Manual?,Default U1d?
ESXI-70-000001,:heavy_check_mark:,:x:,:x:
ESXI-70-000002,:heavy_check_mark:,:x:,
ESXI-70-000003,:x:,:heavy_check_mark:,
ESXI-70-000004,:heavy_check_mark:,:x:,
ESXI-70-000005,:heavy_check_mark:,:x:,
ESXI-70-000006,:heavy_check_mark:,:x:,
ESXI-70-000007,:heavy_check_mark:,:x:,
ESXI-70-000008,:heavy_check_mark:,:x:,
ESXI-70-000009,:heavy_check_mark:,:x:,
ESXI-70-000010,:heavy_check_mark:,:x:,
ESXI-70-000012,:heavy_check_mark:,:x:,
ESXI-70-000013,:heavy_check_mark:,:x:,
ESXI-70-000014,:heavy_check_mark:,:x:,
ESXI-70-000015,:heavy_check_mark:,:x:,
ESXI-70-000016,:heavy_check_mark:,:x:,
ESXI-70-000020,:heavy_check_mark:,:x:,
ESXI-70-000021,:heavy_check_mark:,:x:,
ESXI-70-000022,:heavy_check_mark:,:x:,
ESXI-70-000023,:heavy_check_mark:,:x:,
ESXI-70-000025,:heavy_check_mark:,:x:,
ESXI-70-000026,:heavy_check_mark:,:x:,
ESXI-70-000027,:heavy_check_mark:,:x:,
ESXI-70-000030,:heavy_check_mark:,:x:,
ESXI-70-000031,:heavy_check_mark:,:x:,
ESXI-70-000032,:heavy_check_mark:,:x:,
ESXI-70-000033,:heavy_check_mark:,:x:,
ESXI-70-000034,:heavy_check_mark:,:x:,
ESXI-70-000035,:heavy_check_mark:,:x:,
ESXI-70-000036,:heavy_check_mark:,:x:,
ESXI-70-000037,:x:,:heavy_check_mark:,
ESXI-70-000038,:x:,:heavy_check_mark:,
ESXI-70-000039,:heavy_check_mark:,:x:,
ESXI-70-000041,:heavy_check_mark:,:x:,
ESXI-70-000042,:heavy_check_mark:,:x:,
ESXI-70-000043,:heavy_check_mark:,:x:,
ESXI-70-000045,:heavy_check_mark:,:x:,
ESXI-70-000046,:heavy_check_mark:,:x:,
ESXI-70-000047,:heavy_check_mark:,:x:,
ESXI-70-000048,:x:,:heavy_check_mark:,
ESXI-70-000049,:x:,:heavy_check_mark:,
ESXI-70-000050,:x:,:heavy_check_mark:,
